SKU,ProductName,RetailPrice,Category,OnSpecialPricing,EffectiveDate,Status,UpdatedOn,Size
016096,EVAN WILLIAMS BIB WHITE LABEL      750ml,19.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
016098,EVAN WILLIAMS BIB WHITE LABEL    1750 ml,38.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
016207,NIKKA DAYS WHISKY                  750ml,39.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
016222,JACK DANIELS BONDED WHISKEY        700ml,36.99,General,No,2025-07-01,1,2025-08-22 21:57:49,700
016396,OLD FORESTER SIGNATURE BOURBON     750ml,25.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
016580,BAKERS BOURBON                     750ml,69.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
016676,BASIL HAYDEN BOURBON 8YR           750ml,42.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
016682,BASIL HAYDEN BOURBON              1750ml,74.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
016832,BLADE AND BOW BOURBON              750ml,49.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
017045,BROKEN TOP BACKCOUNTRY BOURBON     750ml,32.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
017086,BULLEIT BOURBON FRONTIER WHISK     750ml,32.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
017334,CHICKEN COCK BOURBON               750ml,54.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
017958,EVAN WILLIAMS BLACK LABEL         1750ml,34.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
018120,EVAN WILLIAMS SINGLE BRL           750ml,39.99,Limited,No,2025-07-01,L,2025-08-22 21:57:49,750
018201,EZRA BROOKS 99 PR BOURBON          750ml,24.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
018203,EZRA BROOKS 99 BOURBON 1750ml,41.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,1750
018348,FOUR ROSES SMALL BATCH BOURBON     750ml,32.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
018351,FOUR ROSES BOURBON YELLOW LABEL  1750 ml,47.99,General,No,2025-07-01,1,2025-08-22 21:57:49,1750
018352,FOUR ROSES BOURBON YELLOW LABEL    750ml,26.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
018604,HIGH WEST BOURBON                  750ml,34.99,General,Yes,2025-07-01,1,2025-08-22 21:57:49,750
019009,JEFFERSON'S  BOURBON    750ml,39.99,General,No,2025-07-01,1,2025-08-22 21:57:49,750
019026,JIM BEAM BLACK XTRA AGE BOURBON,26.99,General,No,2025-07-01,1,2025-08-22 21:57:49,
