003000000025	HOT TEA NEW CUP	0.2500	0.2500	1.99	HOT BEVERAGES	30	2	-198.00		1	003000000025
003000000032	REFILL 20 OZ COFFEE	0.1500	0.1500	1.99	HOT BEVERAGES	30	1	-1199.00		1	003000000032
0040818069516	GRAVITYWORKS 2.0L	40.0000	40.0000	82.99	CAMPING & OUTDOORS	43	1	0.00		1	0040818069516
008274000078	REEDS EXTRA GINGER BEER	0.0000	0.0000	2.02	COLD BEVERAGES	7	1	0.00		1	008274000078
008274002010	REEDS SPICED APPLE CIDER	3.5028	3.5028	5.84	COLD BEVERAGES	7	4	0.00		1	008274002010
008274004687	REEDS GNGR BR BTL SNGL	1.3200	1.3200	2.02	COLD BEVERAGES	7	1	0.00		1	008274004687
008274006650	REEDS REAL GINGER ALE SNGL	0.9500	0.9500	1.58	COLD BEVERAGES	7	1	0.00		1	008274006650
008274444445	REEDS EXTRA GINGER BREW	5.7394	5.7394	8.20	COLD BEVERAGES	7	1	0.00		1	008274444445
008274484847	REEDS STRONGST GNGR BREW	5.7394	5.7394	8.44	COLD BEVERAGES	7	1	0.00		1	008274484847
008274665000	REEDS REAL GINGER ALE PK	3.6639	3.6639	5.69	COLD BEVERAGES	7	1	0.00		1	008274665000
008660000019	ZIG ZAG OG	1.7921	1.8271	2.44	TOBACCO, OTHER	3	3	23.00		1	008660000019
008660000040	ZIG ZAG  KUTCORNERS	1.7974	1.8271	2.17	TOBACCO, OTHER	3	3	46.00		1	008660000040
008660000187	ZIG ZAG PAPER CONES 1 1/4	1.0320	1.0500	1.24	TOBACCO, OTHER	3	3	0.00		1	008660000187
008660007322	ZIG ZAG 1 1/4 ULTRA THIN	1.8298	1.8312	2.35	TOBACCO, OTHER	3	3	22.00		1	008660007322
008660007384	ZIG ZAG ORG HEMP PAPER 1	0.9917	0.9917	1.69	TOBACCO, OTHER	3	3	20.00		1	008660007384
008660007407	ZIG ZAG 1 1/4 UNBLEACHED	0.9917	0.9917	1.59	TOBACCO, OTHER	3	3	28.00		1	008660007407
008660007698	ZIG ZAG PAPER CONES UNBLC	1.0476	1.0200	1.89	TOBACCO, OTHER	3	3	40.00		1	008660007698
008660008701	ZIG ZAG PAPER CONE 70S UN	1.1126	1.1039	1.99	TOBACCO, OTHER	3	3	19.00		1	008660008701
008676420009	WOOL WATCH CAP BLK	8.9900	8.9900	17.99	GENERAL MERCHANDISE	22	7	0.00		1	008676420009
008676941122	XEIRA CAMO BEANIE	6.9900	6.9900	13.99	GENERAL MERCHANDISE	22	7	0.00		1	008676941122
009100382276	FRAM OIL FILTER	0.0000	0.0000	7.99	AUTOMOTIVE PRODUCTS	24	0	0.00		1	009100382276
009114751006	BAR CHAIN	0.0000	8.0000	13.33	AUTOMOTIVE PRODUCTS	24	6	0.00		1	009114751006
009800895007	NUTELLA	4.5000	4.5000	7.59	EDIBLE GROCERY	19	8	0.00		1	009800895007
009971150004	PEAS  SUGAR SNAP	2.0531	2.0590	3.05	PRODUCE	18	2	0.00		1	009971150004
010700000088	JOLLY RANCHER LOLLY POP	0.1728	0.1728	0.27	CANDY	8	3	-2.00		1	010700000088
010700015594	B B I/C HEATH	1.5688	1.5688	2.61	ICE CREAM	12	2	0.00		1	010700015594
010700023858	WHOPPERS	1.0938	1.0938	1.82	CANDY	8	2	0.00		1	010700023858
010900000215	REYNOLDS FOIL HEAVY DUTY	6.2400	6.2400	10.49	HOUSEHOLD/CLEANING	20	2	11.00		1	010900000215
010900080316	REYNOLDS FOIL	2.4300	2.4300	4.42	HOUSEHOLD/CLEANING	20	2	-1.00		1	010900080316
011000004059	PYRAMID CLASSIC BOX	7.8098	8.2200	9.72	CIGARETTES	2	0	27.00		1	011000004059
011000004066	PYR BLUE 100 BOX	5.5897	5.6800	7.57	CIGARETTES	2	0	0.00		1	011000004066
011000004080	PYRAMID RED 100's Pack	6.1539	6.2620	8.35	CIGARETTES	2	5	0.00		1	011000004080
011000004929	PYRAMID RED BOX	6.5870	6.5870	8.78	CIGARETTES	2	0	0.00		1	011000004929
011111614246	DOVE SOAP WHITE REG	2.4400	2.4400	3.49	HEALTH & BEAUTY CARE	21	6	1.00		1	011111614246
011132000400	ALPO DOG FOOD BEEF	4.2939	4.1300	6.88	HOUSEHOLD/CLEANING	20	5	0.00		1	011132000400
011152150635	DYN PANKO BREAD CRUMBS	2.8624	2.8624	4.22	EDIBLE GROCERY	19	7	8.00		1	011152150635
011152285894	NISHIKI PREMIUM RICE	5.9692	5.9692	0.00	EDI/UNKNOWN	99	0	0.00		1	011152285894
011206000343	ES TAMARI SESAM RICE SNP	2.3891	2.3891	3.98	SNACKS - SALTY	15	6	0.00		1	011206000343
011206000367	ES NS SESAME BRN RICE SN	2.4170	2.4240	4.04	SNACKS - SALTY	15	5	0.00		1	011206000367
011206000374	ES ONION GAR BRN RC SNPS	2.3645	2.3645	3.94	SNACKS - SALTY	15	5	0.00		1	011206000374
011206001135	SMARTIES MINIS	0.0526	0.0526	0.08	CANDY	8	3	39.00		1	011206001135
011225131271	BAG SANDWICH BAG	0.0000	2.0000	3.33	HOUSEHOLD/CLEANING	20	2	0.00		1	011225131271
011284003014	JJ BAKERY APPLE PIE	0.0000	0.0000	0.99	SNACKS - BAKERY	16	1	0.00		1	011284003014
011284003113	JJS PEACH PIE	0.0000	0.0000	1.39	SNACKS - BAKERY	16	1	0.00		1	011284003113
